,NH3,ALCOHOL,CO2,NH4,TEMPERATURE,HUMIDITY,Type,Class,type
25,5.14,0.01,1.89,3.05,29,25,B,1,1
26,5.54,0.01,1.83,2.95,28,23,B,1,1
27,5.68,0.01,1.95,3.12,28,23,B,1,1
28,5.42,0.01,1.95,3.16,28,23,B,1,1
29,5.42,0.01,1.95,3.16,28,23,B,1,1
30,4.53,0.01,1.84,2.97,28,27,B,1,1
31,5.42,0.01,1.95,3.16,28,23,B,1,1
32,3.93,0.01,1.76,2.86,28,28,B,1,1
33,3.68,0.01,1.84,2.97,28,28,B,1,1
34,5.14,0.01,2.12,3.36,28,26,B,1,1
35,4.08,0.01,1.88,3.05,28,26,B,1,1
36,4.89,0.01,1.89,3.05,28,27,B,1,1
37,4.89,0.01,1.89,3.05,28,26,B,1,1
38,4.53,0.01,1.79,2.9,29,25,B,1,1
39,5.14,0.01,1.89,3.05,29,25,B,1,1
40,4.53,0.01,1.92,3.38,28,28,B,1,1
41,4.65,0.01,1.98,3.16,28,28,B,1,1
42,4.65,0.01,1.92,3.08,28,28,B,1,1
43,4.89,0.01,1.95,3.12,28,28,B,1,1
44,5.14,0.01,1.89,3.05,29,25,B,1,1
45,5.54,0.01,1.83,2.95,28,23,B,1,1
46,5.68,0.01,1.95,3.12,28,23,B,1,1
47,4.3,0.01,1.95,3.12,28,28,B,1,1
48,4.53,0.01,1.98,3.28,28,28,B,1,1
49,3.98,0.01,1.91,3.28,28,28,B,1,1
50,4.89,0.01,1.89,3.05,28,27,B,1,1
10A,5.82,0.01,1.91,3.08,28,23,B,1,1
10B,5.97,0.01,1.92,3.08,28,24,B,1,1
10C,5.97,0.01,1.92,3.08,28,24,B,1,1
10D,5.68,0.01,1.92,3.08,28,26,B,1,1
10E,5.82,0.01,1.91,3.08,28,23,B,1,1
1,10.69,0.01,2.83,4.31,30,16,C,1,2
2,7.41,0.01,2.28,3.57,30,16,C,1,2
3,7.41,0.01,2.25,3.53,30,16,C,1,2
4,16.73,0.01,3.62,5.37,30,16,C,1,2
